,User ID,Subscription Type,Join Date,Last Payment Date,Country,Region Code,Age,나이대,연령대,Gender,Device,Subscription Cost,Total Library Size,No. of TV Shows,No. of Movies
43,44,Standard,2022-04-26,2023-06-26,Australia,APAC,29,20대,청년층,Male,Tablet,12.12,6114,4050,2064
44,45,Basic,2023-01-28,2023-06-28,Germany,EMEA,43,40대,중년층,Female,Laptop,9.03,5668,3814,1854
45,46,Premium,2022-02-23,2023-06-27,France,EMEA,34,30대,청년층,Male,Smartphone,20.32,5445,3604,1841
46,47,Basic,2022-10-05,2023-06-25,Brazil,LATM,39,30대,중년층,Female,Smart TV,4.61,4972,3162,1810
47,48,Standard,2021-09-15,2023-06-24,Mexico,LATM,32,30대,청년층,Male,Tablet,10.43,4993,3158,1835
48,49,Premium,2022-11-10,2023-06-23,Spain,EMEA,28,20대,청년층,Female,Laptop,20.32,5229,3536,1693
49,50,Basic,2023-06-02,2023-06-22,Italy,EMEA,45,40대,중년층,Male,Smartphone,9.03,5183,3545,1638
50,51,Premium,2023-02-27,2023-06-22,United States,UCAN,30,30대,청년층,Female,Smart TV,17.99,5818,3826,1992
51,52,Basic,2022-08-29,2023-06-28,Canada,UCAN,37,30대,중년층,Male,Tablet,7.91,6239,4311,1928
52,53,Standard,2022-01-13,2023-06-27,United Kingdom,EMEA,41,40대,중년층,Female,Laptop,13.2,6643,4551,2092
53,54,Standard,2022-06-30,2023-06-26,Australia,APAC,29,20대,청년층,Male,Smartphone,12.12,6114,4050,2064
54,55,Basic,2023-04-20,2023-06-28,Germany,EMEA,39,30대,중년층,Female,Smart TV,9.03,5668,3814,1854
55,56,Premium,2022-03-15,2023-06-27,France,EMEA,36,30대,중년층,Male,Tablet,20.32,5445,3604,1841
56,57,Basic,2022-10-01,2023-06-25,Brazil,LATM,46,40대,중년층,Female,Laptop,4.61,4972,3162,1810
57,58,Standard,2021-10-08,2023-06-24,Mexico,LATM,34,30대,청년층,Male,Smartphone,10.43,4993,3158,1835
58,59,Premium,2022-12-03,2023-06-23,Spain,EMEA,27,20대,청년층,Female,Smart TV,20.32,5229,3536,1693
59,60,Basic,2023-06-14,2023-06-22,Italy,EMEA,42,40대,중년층,Male,Tablet,9.03,5183,3545,1638
60,61,Premium,2023-02-08,2023-06-22,United States,UCAN,28,20대,청년층,Female,Laptop,17.99,5818,3826,1992
61,62,Basic,2022-08-03,2023-06-28,Canada,UCAN,37,30대,중년층,Male,Smartphone,7.91,6239,4311,1928
62,63,Standard,2022-02-23,2023-06-27,United Kingdom,EMEA,41,40대,중년층,Female,Smart TV,13.2,6643,4551,2092
63,64,Standard,2022-06-20,2023-06-26,Australia,APAC,29,20대,청년층,Male,Tablet,12.12,6114,4050,2064
64,65,Basic,2023-03-29,2023-06-28,Germany,EMEA,40,40대,중년층,Female,Laptop,9.03,5668,3814,1854
65,66,Premium,2022-01-30,2023-06-27,France,EMEA,29,20대,청년층,Male,Smartphone,20.32,5445,3604,1841
66,67,Basic,2022-09-18,2023-06-25,Brazil,LATM,47,40대,중년층,Female,Smart TV,4.61,4972,3162,1810
67,68,Standard,2021-11-09,2023-06-24,Mexico,LATM,33,30대,청년층,Male,Tablet,10.43,4993,3158,1835
68,69,Premium,2022-12-23,2023-06-23,Spain,EMEA,36,30대,중년층,Female,Laptop,20.32,5229,3536,1693
69,70,Basic,2023-05-08,2023-06-22,Italy,EMEA,41,40대,중년층,Male,Smartphone,9.03,5183,3545,1638
70,71,Basic,2022-01-26,2023-06-20,United States,UCAN,27,20대,청년층,Male,Smartphone,8.99,5818,3826,1992
71,72,Basic,2022-10-11,2023-06-22,Canada,UCAN,31,30대,청년층,Female,Smartphone,7.91,6239,4311,1928
72,73,Standard,2022-09-27,2023-06-26,United Kingdom,EMEA,28,20대,청년층,Female,Laptop,13.2,6643,4551,2092
73,74,Premium,2022-12-14,2023-06-25,Australia,APAC,41,40대,중년층,Female,Smartphone,16.39,6114,4050,2064
74,75,Basic,2022-05-28,2023-06-26,Germany,EMEA,28,20대,청년층,Female,Laptop,9.03,5668,3814,1854
75,76,Basic,2021-12-29,2023-06-26,France,EMEA,51,50대 이상,장년층,Female,Laptop,10.16,5445,3604,1841
76,77,Premium,2022-12-25,2023-06-23,Brazil,LATM,45,40대,중년층,Female,Smartphone,9.96,4972,3162,1810
77,78,Standard,2022-11-18,2023-06-28,Mexico,LATM,49,40대,중년층,Male,Tablet,10.43,4993,3158,1835
78,79,Standard,2022-12-03,2023-06-25,Spain,EMEA,43,40대,중년층,Female,Laptop,14.67,5229,3536,1693
79,80,Basic,2022-11-08,2023-06-22,Italy,EMEA,43,40대,중년층,Male,Tablet,9.03,5183,3545,1638
80,81,Premium,2023-01-11,2023-06-24,United States,UCAN,37,30대,중년층,Male,Tablet,17.99,5818,3826,1992
81,82,Standard,2022-12-07,2023-06-28,Canada,UCAN,35,30대,중년층,Male,Laptop,11.87,6239,4311,1928
82,83,Basic,2022-10-20,2023-06-26,United Kingdom,EMEA,46,40대,중년층,Female,Smartphone,7.91,6643,4551,2092
83,84,Standard,2023-04-13,2023-06-25,Australia,APAC,32,30대,청년층,Male,Smartphone,12.12,6114,4050,2064
84,85,Premium,2023-04-06,2023-06-27,Germany,EMEA,37,30대,중년층,Female,Laptop,20.32,5668,3814,1854
85,86,Basic,2022-03-04,2023-06-25,France,EMEA,29,20대,청년층,Female,Smartphone,10.16,5445,3604,1841
86,87,Premium,2021-12-28,2023-06-23,Brazil,LATM,45,40대,중년층,Male,Smart TV,9.96,4972,3162,1810
87,88,Standard,2022-09-27,2023-06-28,Mexico,LATM,47,40대,중년층,Male,Tablet,10.43,4993,3158,1835
88,89,Basic,2022-10-20,2023-06-26,Spain,EMEA,39,30대,중년층,Male,Smartphone,9.03,5229,3536,1693
89,90,Standard,2023-02-03,2023-06-23,Italy,EMEA,49,40대,중년층,Female,Smartphone,14.67,5183,3545,1638
90,91,Premium,2022-10-03,2023-06-23,United States,UCAN,39,30대,중년층,Male,Tablet,17.99,5818,3826,1992
91,92,Basic,2022-01-05,2023-06-28,Canada,UCAN,39,30대,중년층,Male,Smart TV,7.91,6239,4311,1928
92,93,Standard,2022-02-05,2023-06-26,United Kingdom,EMEA,35,30대,중년층,Male,Smartphone,13.2,6643,4551,2092
93,94,Premium,2022-03-19,2023-06-25,Australia,APAC,44,40대,중년층,Male,Smartphone,16.39,6114,4050,2064
94,95,Basic,2022-02-28,2023-06-25,Germany,EMEA,34,30대,청년층,Male,Laptop,9.03,5668,3814,1854
95,96,Premium,2022-07-26,2023-06-24,France,EMEA,32,30대,청년층,Male,Laptop,20.32,5445,3604,1841
96,97,Basic,2022-03-05,2023-06-24,Brazil,LATM,29,20대,청년층,Female,Tablet,4.61,4972,3162,1810
97,98,Standard,2022-03-07,2023-06-28,Mexico,LATM,31,30대,청년층,Female,Tablet,10.43,4993,3158,1835
98,99,Standard,2023-01-13,2023-06-24,Spain,EMEA,29,20대,청년층,Female,Tablet,14.67,5229,3536,1693
99,100,Basic,2023-01-22,2023-06-25,Italy,EMEA,35,30대,중년층,Male,Laptop,9.03,5183,3545,1638
100,101,Premium,2022-10-17,2023-06-24,United States,UCAN,46,40대,중년층,Female,Tablet,17.99,5818,3826,1992
101,102,Basic,2022-03-29,2023-06-28,Canada,UCAN,31,30대,청년층,Male,Tablet,7.91,6239,4311,1928
102,103,Standard,2022-04-04,2023-06-26,United Kingdom,EMEA,36,30대,중년층,Male,Laptop,13.2,6643,4551,2092
103,104,Premium,2022-06-08,2023-06-25,Australia,APAC,38,30대,중년층,Male,Laptop,16.39,6114,4050,2064
104,105,Basic,2022-03-04,2023-06-27,Germany,EMEA,46,40대,중년층,Female,Laptop,9.03,5668,3814,1854
105,106,Premium,2022-03-18,2023-06-24,France,EMEA,49,40대,중년층,Female,Tablet,20.32,5445,3604,1841
106,107,Basic,2022-03-07,2023-06-24,Brazil,LATM,29,20대,청년층,Female,Smart TV,4.61,4972,3162,1810
107,108,Standard,2022-05-24,2023-06-25,Mexico,LATM,27,20대,청년층,Female,Smart TV,10.43,4993,3158,1835
108,109,Standard,2023-02-08,2023-06-25,Spain,EMEA,35,30대,중년층,Female,Tablet,14.67,5229,3536,1693
109,110,Basic,2023-01-26,2023-06-24,Italy,EMEA,37,30대,중년층,Female,Laptop,9.03,5183,3545,1638
110,111,Premium,2022-07-14,2023-06-27,United States,UCAN,40,40대,중년층,Male,Tablet,17.99,5818,3826,1992
111,112,Basic,2022-06-01,2023-06-28,Canada,UCAN,33,30대,청년층,Female,Laptop,7.91,6239,4311,1928
112,113,Standard,2022-05-07,2023-06-26,United Kingdom,EMEA,37,30대,중년층,Male,Tablet,13.2,6643,4551,2092
113,114,Premium,2022-11-18,2023-06-25,Australia,APAC,48,40대,중년층,Male,Smartphone,16.39,6114,4050,2064
114,115,Basic,2022-04-05,2023-06-25,Germany,EMEA,50,50대 이상,장년층,Female,Laptop,9.03,5668,3814,1854
115,116,Premium,2022-05-19,2023-06-23,France,EMEA,45,40대,중년층,Female,Smart TV,20.32,5445,3604,1841
116,117,Basic,2021-10-30,2023-06-23,Brazil,LATM,40,40대,중년층,Female,Tablet,4.61,4972,3162,1810
117,118,Standard,2022-08-07,2023-06-27,Mexico,LATM,33,30대,청년층,Male,Smartphone,10.43,4993,3158,1835
118,119,Standard,2022-09-20,2023-06-25,Spain,EMEA,44,40대,중년층,Female,Smartphone,14.67,5229,3536,1693
119,120,Basic,2022-10-18,2023-06-25,Italy,EMEA,30,30대,청년층,Female,Smart TV,9.03,5183,3545,1638
120,121,Premium,2022-10-03,2023-06-24,United States,UCAN,27,20대,청년층,Male,Smart TV,17.99,5818,3826,1992
121,122,Basic,2022-05-03,2023-06-28,Canada,UCAN,51,50대 이상,장년층,Male,Smart TV,7.91,6239,4311,1928
122,123,Standard,2022-05-25,2023-06-26,United Kingdom,EMEA,49,40대,중년층,Female,Smartphone,13.2,6643,4551,2092
123,124,Premium,2022-11-05,2023-06-25,Australia,APAC,43,40대,중년층,Male,Laptop,16.39,6114,4050,2064
124,125,Basic,2022-08-21,2023-06-24,Germany,EMEA,42,40대,중년층,Male,Smartphone,9.03,5668,3814,1854
125,126,Premium,2022-09-21,2023-06-23,France,EMEA,45,40대,중년층,Male,Laptop,20.32,5445,3604,1841
126,127,Basic,2021-11-23,2023-06-23,Brazil,LATM,36,30대,중년층,Male,Smartphone,4.61,4972,3162,1810
127,128,Standard,2022-10-06,2023-06-27,Mexico,LATM,48,40대,중년층,Male,Smartphone,10.43,4993,3158,1835
128,129,Standard,2022-11-05,2023-06-23,Spain,EMEA,38,30대,중년층,Male,Smart TV,14.67,5229,3536,1693
129,130,Basic,2023-01-07,2023-06-23,Italy,EMEA,43,40대,중년층,Female,Tablet,9.03,5183,3545,1638
130,131,Premium,2022-10-06,2023-06-23,United States,UCAN,47,40대,중년층,Male,Laptop,17.99,5818,3826,1992
131,132,Basic,2022-06-24,2023-06-28,Canada,UCAN,48,40대,중년층,Female,Smart TV,7.91,6239,4311,1928
132,133,Standard,2022-06-24,2023-06-26,United Kingdom,EMEA,47,40대,중년층,Male,Smart TV,13.2,6643,4551,2092
133,134,Premium,2022-11-05,2023-06-25,Australia,APAC,32,30대,청년층,Male,Tablet,16.39,6114,4050,2064
134,135,Basic,2022-07-18,2023-06-26,Germany,EMEA,47,40대,중년층,Female,Smart TV,9.03,5668,3814,1854
135,136,Premium,2022-09-13,2023-06-26,France,EMEA,41,40대,중년층,Female,Smart TV,20.32,5445,3604,1841
136,137,Basic,2022-08-10,2023-06-22,Brazil,LATM,49,40대,중년층,Male,Laptop,4.61,4972,3162,1810
137,138,Standard,2022-09-21,2023-06-23,Mexico,LATM,28,20대,청년층,Male,Laptop,10.43,4993,3158,1835
138,139,Standard,2023-03-24,2023-06-23,Spain,EMEA,40,40대,중년층,Male,Smartphone,14.67,5229,3536,1693
139,140,Basic,2022-05-02,2023-06-23,Italy,EMEA,43,40대,중년층,Female,Smartphone,9.03,5183,3545,1638
140,141,Premium,2022-05-11,2023-06-27,United States,UCAN,42,40대,중년층,Male,Smartphone,17.99,5818,3826,1992
141,142,Basic,2022-06-10,2023-06-22,Canada,UCAN,28,20대,청년층,Male,Smart TV,7.91,6239,4311,1928
142,143,Standard,2022-08-31,2023-06-24,United Kingdom,EMEA,30,30대,청년층,Female,Tablet,13.2,6643,4551,2092
143,144,Premium,2022-08-17,2023-06-26,Australia,APAC,33,30대,청년층,Male,Smart TV,16.39,6114,4050,2064
144,145,Basic,2022-05-05,2023-06-26,Germany,EMEA,35,30대,중년층,Female,Laptop,9.03,5668,3814,1854
145,146,Basic,2022-10-06,2023-06-25,France,EMEA,38,30대,중년층,Male,Tablet,10.16,5445,3604,1841
146,147,Basic,2022-11-08,2023-06-24,Brazil,LATM,49,40대,중년층,Female,Laptop,4.61,4972,3162,1810
147,148,Standard,2022-11-27,2023-06-28,Mexico,LATM,39,30대,중년층,Female,Smartphone,10.43,4993,3158,1835
148,149,Premium,2022-11-17,2023-06-27,Spain,EMEA,46,40대,중년층,Female,Smart TV,20.32,5229,3536,1693
149,150,Basic,2022-12-15,2023-06-23,Italy,EMEA,47,40대,중년층,Female,Laptop,9.03,5183,3545,1638
150,151,Basic,2022-12-12,2023-06-25,United States,UCAN,30,30대,청년층,Female,Laptop,8.99,5818,3826,1992
151,152,Premium,2022-11-23,2023-06-27,Canada,UCAN,33,30대,청년층,Female,Tablet,15.03,6239,4311,1928
152,153,Standard,2022-12-25,2023-06-24,United Kingdom,EMEA,47,40대,중년층,Male,Smartphone,13.2,6643,4551,2092
153,154,Standard,2023-03-11,2023-06-27,Australia,APAC,27,20대,청년층,Male,Laptop,12.12,6114,4050,2064
154,155,Basic,2022-11-18,2023-06-27,Germany,EMEA,28,20대,청년층,Male,Tablet,9.03,5668,3814,1854
155,156,Premium,2022-08-19,2023-06-25,France,EMEA,47,40대,중년층,Male,Smartphone,20.32,5445,3604,1841
156,157,Standard,2022-09-27,2023-06-24,Brazil,LATM,30,30대,청년층,Male,Laptop,7.11,4972,3162,1810
157,158,Basic,2022-10-19,2023-06-28,Mexico,LATM,47,40대,중년층,Female,Smartphone,6.62,4993,3158,1835
158,159,Standard,2022-12-21,2023-06-26,Spain,EMEA,51,50대 이상,장년층,Female,Smart TV,14.67,5229,3536,1693
159,160,Premium,2022-10-27,2023-06-25,Italy,EMEA,39,30대,중년층,Male,Smartphone,20.32,5183,3545,1638
160,161,Basic,2022-10-23,2023-06-24,United States,UCAN,45,40대,중년층,Male,Tablet,8.99,5818,3826,1992
161,162,Premium,2022-04-19,2023-06-25,Canada,UCAN,31,30대,청년층,Male,Laptop,15.03,6239,4311,1928
162,163,Standard,2022-04-05,2023-06-26,United Kingdom,EMEA,29,20대,청년층,Male,Laptop,13.2,6643,4551,2092
163,164,Basic,2022-03-11,2023-06-26,Australia,APAC,42,40대,중년층,Female,Tablet,7.84,6114,4050,2064
164,165,Standard,2022-05-25,2023-06-25,Germany,EMEA,49,40대,중년층,Male,Tablet,14.67,5668,3814,1854
165,166,Premium,2022-04-16,2023-06-26,France,EMEA,42,40대,중년층,Male,Laptop,20.32,5445,3604,1841
166,167,Basic,2022-04-07,2023-06-24,Brazil,LATM,29,20대,청년층,Male,Smartphone,4.61,4972,3162,1810
167,168,Standard,2022-12-11,2023-06-28,Mexico,LATM,29,20대,청년층,Male,Tablet,10.43,4993,3158,1835
168,169,Premium,2023-01-20,2023-06-26,Spain,EMEA,49,40대,중년층,Male,Tablet,20.32,5229,3536,1693
169,170,Basic,2023-01-12,2023-06-25,Italy,EMEA,32,30대,청년층,Male,Laptop,9.03,5183,3545,1638
170,171,Premium,2022-04-29,2023-06-24,United States,UCAN,35,30대,중년층,Female,Tablet,17.99,5818,3826,1992
171,172,Basic,2022-04-27,2023-06-26,Canada,UCAN,39,30대,중년층,Female,Smartphone,7.91,6239,4311,1928
172,173,Standard,2022-06-03,2023-06-25,United Kingdom,EMEA,40,40대,중년층,Male,Smartphone,13.2,6643,4551,2092
173,174,Standard,2022-04-23,2023-06-25,Australia,APAC,39,30대,중년층,Female,Tablet,12.12,6114,4050,2064
174,175,Basic,2022-04-22,2023-06-26,Germany,EMEA,47,40대,중년층,Female,Laptop,9.03,5668,3814,1854
175,176,Premium,2022-04-12,2023-06-25,France,EMEA,37,30대,중년층,Female,Smart TV,20.32,5445,3604,1841
176,177,Basic,2022-05-23,2023-06-26,Brazil,LATM,27,20대,청년층,Female,Smartphone,4.61,4972,3162,1810
177,178,Standard,2022-10-19,2023-06-26,Mexico,LATM,49,40대,중년층,Female,Laptop,10.43,4993,3158,1835
178,179,Premium,2022-12-03,2023-06-26,Spain,EMEA,30,30대,청년층,Female,Tablet,20.32,5229,3536,1693
179,180,Basic,2022-09-26,2023-06-25,Italy,EMEA,36,30대,중년층,Male,Laptop,9.03,5183,3545,1638
180,181,Premium,2022-06-16,2023-06-27,United States,UCAN,33,30대,청년층,Male,Smartphone,17.99,5818,3826,1992
181,182,Basic,2022-05-16,2023-06-25,Canada,UCAN,30,30대,청년층,Female,Laptop,7.91,6239,4311,1928
182,183,Standard,2022-05-26,2023-06-26,United Kingdom,EMEA,36,30대,중년층,Female,Tablet,13.2,6643,4551,2092
183,184,Standard,2022-04-26,2023-06-25,Australia,APAC,28,20대,청년층,Female,Laptop,12.12,6114,4050,2064
184,185,Basic,2022-05-12,2023-06-25,Germany,EMEA,47,40대,중년층,Female,Tablet,9.03,5668,3814,1854
185,186,Premium,2022-03-01,2023-06-25,France,EMEA,33,30대,청년층,Female,Smart TV,20.32,5445,3604,1841
186,187,Basic,2022-07-10,2023-06-24,Brazil,LATM,49,40대,중년층,Female,Laptop,4.61,4972,3162,1810
187,188,Standard,2022-07-16,2023-06-27,Mexico,LATM,44,40대,중년층,Female,Smart TV,10.43,4993,3158,1835
188,189,Premium,2022-09-02,2023-06-26,Spain,EMEA,47,40대,중년층,Male,Smart TV,20.32,5229,3536,1693
189,190,Basic,2022-09-18,2023-06-26,Italy,EMEA,37,30대,중년층,Female,Tablet,9.03,5183,3545,1638
190,191,Premium,2022-07-08,2023-06-25,United States,UCAN,46,40대,중년층,Male,Laptop,17.99,5818,3826,1992
191,192,Basic,2022-06-26,2023-06-27,Canada,UCAN,50,50대 이상,장년층,Female,Smartphone,7.91,6239,4311,1928
192,193,Standard,2022-08-05,2023-06-25,United Kingdom,EMEA,50,50대 이상,장년층,Male,Laptop,13.2,6643,4551,2092
193,194,Standard,2022-08-19,2023-06-27,Australia,APAC,37,30대,중년층,Male,Laptop,12.12,6114,4050,2064
194,195,Basic,2022-08-26,2023-06-24,Germany,EMEA,50,50대 이상,장년층,Female,Smartphone,9.03,5668,3814,1854
195,196,Premium,2022-06-09,2023-06-24,France,EMEA,45,40대,중년층,Female,Smart TV,20.32,5445,3604,1841
196,197,Basic,2022-09-27,2023-06-23,Brazil,LATM,45,40대,중년층,Male,Tablet,4.61,4972,3162,1810
197,198,Standard,2022-10-18,2023-06-27,Mexico,LATM,49,40대,중년층,Female,Laptop,10.43,4993,3158,1835
198,199,Premium,2022-10-31,2023-06-25,Spain,EMEA,39,30대,중년층,Female,Tablet,20.32,5229,3536,1693
199,200,Basic,2022-10-13,2023-06-25,Italy,EMEA,45,40대,중년층,Female,Tablet,9.03,5183,3545,1638
200,201,Premium,2022-07-04,2023-06-27,United States,UCAN,49,40대,중년층,Female,Smart TV,17.99,5818,3826,1992
201,202,Basic,2022-06-26,2023-06-27,Canada,UCAN,31,30대,청년층,Female,Tablet,7.91,6239,4311,1928
202,203,Standard,2022-07-31,2023-06-24,United Kingdom,EMEA,42,40대,중년층,Female,Smart TV,13.2,6643,4551,2092
203,204,Standard,2022-07-27,2023-06-24,Australia,APAC,37,30대,중년층,Male,Smartphone,12.12,6114,4050,2064
204,205,Basic,2022-07-30,2023-06-25,Germany,EMEA,30,30대,청년층,Male,Smart TV,9.03,5668,3814,1854
205,206,Premium,2022-08-06,2023-06-25,France,EMEA,40,40대,중년층,Male,Smartphone,20.32,5445,3604,1841
206,207,Basic,2022-09-16,2023-06-24,Brazil,LATM,45,40대,중년층,Female,Smartphone,4.61,4972,3162,1810
207,208,Standard,2023-01-05,2023-06-23,Mexico,LATM,36,30대,중년층,Female,Tablet,10.43,4993,3158,1835
208,209,Premium,2022-12-10,2023-06-24,Spain,EMEA,41,40대,중년층,Male,Laptop,20.32,5229,3536,1693
209,210,Basic,2022-11-22,2023-06-26,Italy,EMEA,49,40대,중년층,Female,Laptop,9.03,5183,3545,1638
210,211,Premium,2022-11-15,2023-06-27,United States,UCAN,40,40대,중년층,Male,Tablet,17.99,5818,3826,1992
211,212,Basic,2022-10-28,2023-06-26,Canada,UCAN,36,30대,중년층,Male,Smart TV,7.91,6239,4311,1928
212,213,Standard,2022-09-08,2023-06-24,United Kingdom,EMEA,49,40대,중년층,Female,Smart TV,13.2,6643,4551,2092
213,214,Standard,2022-06-30,2023-06-28,Australia,APAC,43,40대,중년층,Female,Laptop,12.12,6114,4050,2064
214,215,Basic,2022-09-02,2023-06-27,Germany,EMEA,50,50대 이상,장년층,Female,Smartphone,9.03,5668,3814,1854
215,216,Premium,2022-10-08,2023-06-24,France,EMEA,51,50대 이상,장년층,Female,Smart TV,20.32,5445,3604,1841
216,217,Basic,2022-11-13,2023-06-25,Brazil,LATM,44,40대,중년층,Male,Smart TV,4.61,4972,3162,1810
217,218,Standard,2022-11-15,2023-06-28,Mexico,LATM,27,20대,청년층,Male,Tablet,10.43,4993,3158,1835
218,219,Premium,2022-11-16,2023-06-25,Spain,EMEA,46,40대,중년층,Female,Smartphone,20.32,5229,3536,1693
219,220,Basic,2022-11-26,2023-06-27,Italy,EMEA,29,20대,청년층,Male,Tablet,9.03,5183,3545,1638
220,221,Basic,2022-11-26,2023-06-25,United States,UCAN,47,40대,중년층,Male,Smartphone,8.99,5818,3826,1992
221,222,Basic,2022-12-12,2023-06-26,Canada,UCAN,48,40대,중년층,Female,Smartphone,7.91,6239,4311,1928
222,223,Standard,2023-01-08,2023-06-25,United Kingdom,EMEA,34,30대,청년층,Female,Smartphone,13.2,6643,4551,2092
223,224,Premium,2022-11-27,2023-06-29,Australia,APAC,40,40대,중년층,Female,Smartphone,16.39,6114,4050,2064
