,User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Subscription Cost
86,87,Premium,15,21-12-28,23-06-23,Brazil,45,Male,Smart TV,1 Month,9.96
87,88,Standard,12,22-09-27,23-06-28,Mexico,47,Male,Tablet,1 Month,10.43
88,89,Basic,15,22-10-20,23-06-26,Spain,39,Male,Smartphone,1 Month,9.03
89,90,Standard,13,23-02-03,23-06-23,Italy,49,Female,Smartphone,1 Month,14.67
90,91,Premium,11,22-10-03,23-06-23,United States,39,Male,Tablet,1 Month,17.99
91,92,Basic,14,22-01-05,23-06-28,Canada,39,Male,Smart TV,1 Month,7.91
92,93,Standard,12,22-02-05,23-06-26,United Kingdom,35,Male,Smartphone,1 Month,13.2
93,94,Premium,12,22-03-19,23-06-25,Australia,44,Male,Smartphone,1 Month,16.39
94,95,Basic,11,22-02-28,23-06-25,Germany,34,Male,Laptop,1 Month,9.03
95,96,Premium,14,22-07-26,23-06-24,France,32,Male,Laptop,1 Month,20.32
96,97,Basic,10,22-03-05,23-06-24,Brazil,29,Female,Tablet,1 Month,4.61
97,98,Standard,13,22-03-07,23-06-28,Mexico,31,Female,Tablet,1 Month,10.43
98,99,Standard,12,23-01-13,23-06-24,Spain,29,Female,Tablet,1 Month,14.67
99,100,Basic,12,23-01-22,23-06-25,Italy,35,Male,Laptop,1 Month,9.03
100,101,Premium,11,22-10-17,23-06-24,United States,46,Female,Tablet,1 Month,17.99
101,102,Basic,12,22-03-29,23-06-28,Canada,31,Male,Tablet,1 Month,7.91
102,103,Standard,13,22-04-04,23-06-26,United Kingdom,36,Male,Laptop,1 Month,13.2
103,104,Premium,10,22-06-08,23-06-25,Australia,38,Male,Laptop,1 Month,16.39
104,105,Basic,11,22-03-04,23-06-27,Germany,46,Female,Laptop,1 Month,9.03
105,106,Premium,10,22-03-18,23-06-24,France,49,Female,Tablet,1 Month,20.32
106,107,Basic,14,22-03-07,23-06-24,Brazil,29,Female,Smart TV,1 Month,4.61
107,108,Standard,12,22-05-24,23-06-25,Mexico,27,Female,Smart TV,1 Month,10.43
108,109,Standard,13,23-02-08,23-06-25,Spain,35,Female,Tablet,1 Month,14.67
109,110,Basic,13,23-01-26,23-06-24,Italy,37,Female,Laptop,1 Month,9.03
110,111,Premium,14,22-07-14,23-06-27,United States,40,Male,Tablet,1 Month,17.99
111,112,Basic,10,22-06-01,23-06-28,Canada,33,Female,Laptop,1 Month,7.91
112,113,Standard,15,22-05-07,23-06-26,United Kingdom,37,Male,Tablet,1 Month,13.2
113,114,Premium,10,22-11-18,23-06-25,Australia,48,Male,Smartphone,1 Month,16.39
114,115,Basic,11,22-04-05,23-06-25,Germany,50,Female,Laptop,1 Month,9.03
115,116,Premium,14,22-05-19,23-06-23,France,45,Female,Smart TV,1 Month,20.32
116,117,Basic,15,21-10-30,23-06-23,Brazil,40,Female,Tablet,1 Month,4.61
117,118,Standard,12,22-08-07,23-06-27,Mexico,33,Male,Smartphone,1 Month,10.43
118,119,Standard,11,22-09-20,23-06-25,Spain,44,Female,Smartphone,1 Month,14.67
119,120,Basic,10,22-10-18,23-06-25,Italy,30,Female,Smart TV,1 Month,9.03
120,121,Premium,15,22-10-03,23-06-24,United States,27,Male,Smart TV,1 Month,17.99
121,122,Basic,11,22-05-03,23-06-28,Canada,51,Male,Smart TV,1 Month,7.91
122,123,Standard,13,22-05-25,23-06-26,United Kingdom,49,Female,Smartphone,1 Month,13.2
123,124,Premium,15,22-11-05,23-06-25,Australia,43,Male,Laptop,1 Month,16.39
124,125,Basic,12,22-08-21,23-06-24,Germany,42,Male,Smartphone,1 Month,9.03
125,126,Premium,13,22-09-21,23-06-23,France,45,Male,Laptop,1 Month,20.32
126,127,Basic,10,21-11-23,23-06-23,Brazil,36,Male,Smartphone,1 Month,4.61
127,128,Standard,12,22-10-06,23-06-27,Mexico,48,Male,Smartphone,1 Month,10.43
128,129,Standard,13,22-11-05,23-06-23,Spain,38,Male,Smart TV,1 Month,14.67
129,130,Basic,14,23-01-07,23-06-23,Italy,43,Female,Tablet,1 Month,9.03
130,131,Premium,15,22-10-06,23-06-23,United States,47,Male,Laptop,1 Month,17.99
131,132,Basic,15,22-06-24,23-06-28,Canada,48,Female,Smart TV,1 Month,7.91
132,133,Standard,13,22-06-24,23-06-26,United Kingdom,47,Male,Smart TV,1 Month,13.2
133,134,Premium,15,22-11-05,23-06-25,Australia,32,Male,Tablet,1 Month,16.39
134,135,Basic,13,22-07-18,23-06-26,Germany,47,Female,Smart TV,1 Month,9.03
135,136,Premium,12,22-09-13,23-06-26,France,41,Female,Smart TV,1 Month,20.32
136,137,Basic,12,22-08-10,23-06-22,Brazil,49,Male,Laptop,1 Month,4.61
137,138,Standard,15,22-09-21,23-06-23,Mexico,28,Male,Laptop,1 Month,10.43
138,139,Standard,13,23-03-24,23-06-23,Spain,40,Male,Smartphone,1 Month,14.67
139,140,Basic,12,22-05-02,23-06-23,Italy,43,Female,Smartphone,1 Month,9.03
140,141,Premium,12,22-05-11,23-06-27,United States,42,Male,Smartphone,1 Month,17.99
141,142,Basic,14,22-06-10,23-06-22,Canada,28,Male,Smart TV,1 Month,7.91
142,143,Standard,14,22-08-31,23-06-24,United Kingdom,30,Female,Tablet,1 Month,13.2
143,144,Premium,10,22-08-17,23-06-26,Australia,33,Male,Smart TV,1 Month,16.39
144,145,Basic,11,22-05-05,23-06-26,Germany,35,Female,Laptop,1 Month,9.03
145,146,Basic,10,22-10-06,23-06-25,France,38,Male,Tablet,1 Month,10.16
146,147,Basic,12,22-11-08,23-06-24,Brazil,49,Female,Laptop,1 Month,4.61
147,148,Standard,15,22-11-27,23-06-28,Mexico,39,Female,Smartphone,1 Month,10.43
148,149,Premium,13,22-11-17,23-06-27,Spain,46,Female,Smart TV,1 Month,20.32
149,150,Basic,10,22-12-15,23-06-23,Italy,47,Female,Laptop,1 Month,9.03
150,151,Basic,15,22-12-12,23-06-25,United States,30,Female,Laptop,1 Month,8.99
151,152,Premium,14,22-11-23,23-06-27,Canada,33,Female,Tablet,1 Month,15.03
152,153,Standard,11,22-12-25,23-06-24,United Kingdom,47,Male,Smartphone,1 Month,13.2
153,154,Standard,11,23-03-11,23-06-27,Australia,27,Male,Laptop,1 Month,12.12
154,155,Basic,14,22-11-18,23-06-27,Germany,28,Male,Tablet,1 Month,9.03
155,156,Premium,15,22-08-19,23-06-25,France,47,Male,Smartphone,1 Month,20.32
156,157,Standard,14,22-09-27,23-06-24,Brazil,30,Male,Laptop,1 Month,7.11
157,158,Basic,13,22-10-19,23-06-28,Mexico,47,Female,Smartphone,1 Month,6.62
158,159,Standard,10,22-12-21,23-06-26,Spain,51,Female,Smart TV,1 Month,14.67
159,160,Premium,15,22-10-27,23-06-25,Italy,39,Male,Smartphone,1 Month,20.32
160,161,Basic,10,22-10-23,23-06-24,United States,45,Male,Tablet,1 Month,8.99
161,162,Premium,15,22-04-19,23-06-25,Canada,31,Male,Laptop,1 Month,15.03
162,163,Standard,11,22-04-05,23-06-26,United Kingdom,29,Male,Laptop,1 Month,13.2
163,164,Basic,11,22-03-11,23-06-26,Australia,42,Female,Tablet,1 Month,7.84
164,165,Standard,14,22-05-25,23-06-25,Germany,49,Male,Tablet,1 Month,14.67
165,166,Premium,13,22-04-16,23-06-26,France,42,Male,Laptop,1 Month,20.32
166,167,Basic,13,22-04-07,23-06-24,Brazil,29,Male,Smartphone,1 Month,4.61
167,168,Standard,10,22-12-11,23-06-28,Mexico,29,Male,Tablet,1 Month,10.43
168,169,Premium,12,23-01-20,23-06-26,Spain,49,Male,Tablet,1 Month,20.32
169,170,Basic,14,23-01-12,23-06-25,Italy,32,Male,Laptop,1 Month,9.03
170,171,Premium,11,22-04-29,23-06-24,United States,35,Female,Tablet,1 Month,17.99
171,172,Basic,12,22-04-27,23-06-26,Canada,39,Female,Smartphone,1 Month,7.91
172,173,Standard,15,22-06-03,23-06-25,United Kingdom,40,Male,Smartphone,1 Month,13.2
173,174,Standard,14,22-04-23,23-06-25,Australia,39,Female,Tablet,1 Month,12.12
174,175,Basic,10,22-04-22,23-06-26,Germany,47,Female,Laptop,1 Month,9.03
175,176,Premium,13,22-04-12,23-06-25,France,37,Female,Smart TV,1 Month,20.32
176,177,Basic,15,22-05-23,23-06-26,Brazil,27,Female,Smartphone,1 Month,4.61
177,178,Standard,13,22-10-19,23-06-26,Mexico,49,Female,Laptop,1 Month,10.43
178,179,Premium,10,22-12-03,23-06-26,Spain,30,Female,Tablet,1 Month,20.32
179,180,Basic,14,22-09-26,23-06-25,Italy,36,Male,Laptop,1 Month,9.03
180,181,Premium,15,22-06-16,23-06-27,United States,33,Male,Smartphone,1 Month,17.99
181,182,Basic,13,22-05-16,23-06-25,Canada,30,Female,Laptop,1 Month,7.91
182,183,Standard,15,22-05-26,23-06-26,United Kingdom,36,Female,Tablet,1 Month,13.2
183,184,Standard,13,22-04-26,23-06-25,Australia,28,Female,Laptop,1 Month,12.12
184,185,Basic,11,22-05-12,23-06-25,Germany,47,Female,Tablet,1 Month,9.03
185,186,Premium,12,22-03-01,23-06-25,France,33,Female,Smart TV,1 Month,20.32
186,187,Basic,13,22-07-10,23-06-24,Brazil,49,Female,Laptop,1 Month,4.61
187,188,Standard,15,22-07-16,23-06-27,Mexico,44,Female,Smart TV,1 Month,10.43
188,189,Premium,13,22-09-02,23-06-26,Spain,47,Male,Smart TV,1 Month,20.32
189,190,Basic,11,22-09-18,23-06-26,Italy,37,Female,Tablet,1 Month,9.03
190,191,Premium,10,22-07-08,23-06-25,United States,46,Male,Laptop,1 Month,17.99
191,192,Basic,14,22-06-26,23-06-27,Canada,50,Female,Smartphone,1 Month,7.91
192,193,Standard,11,22-08-05,23-06-25,United Kingdom,50,Male,Laptop,1 Month,13.2
193,194,Standard,14,22-08-19,23-06-27,Australia,37,Male,Laptop,1 Month,12.12
194,195,Basic,11,22-08-26,23-06-24,Germany,50,Female,Smartphone,1 Month,9.03
195,196,Premium,13,22-06-09,23-06-24,France,45,Female,Smart TV,1 Month,20.32
196,197,Basic,14,22-09-27,23-06-23,Brazil,45,Male,Tablet,1 Month,4.61
197,198,Standard,10,22-10-18,23-06-27,Mexico,49,Female,Laptop,1 Month,10.43
198,199,Premium,14,22-10-31,23-06-25,Spain,39,Female,Tablet,1 Month,20.32
199,200,Basic,11,22-10-13,23-06-25,Italy,45,Female,Tablet,1 Month,9.03
200,201,Premium,11,22-07-04,23-06-27,United States,49,Female,Smart TV,1 Month,17.99
201,202,Basic,12,22-06-26,23-06-27,Canada,31,Female,Tablet,1 Month,7.91
202,203,Standard,13,22-07-31,23-06-24,United Kingdom,42,Female,Smart TV,1 Month,13.2
203,204,Standard,12,22-07-27,23-06-24,Australia,37,Male,Smartphone,1 Month,12.12
204,205,Basic,12,22-07-30,23-06-25,Germany,30,Male,Smart TV,1 Month,9.03
205,206,Premium,11,22-08-06,23-06-25,France,40,Male,Smartphone,1 Month,20.32
206,207,Basic,15,22-09-16,23-06-24,Brazil,45,Female,Smartphone,1 Month,4.61
207,208,Standard,15,23-01-05,23-06-23,Mexico,36,Female,Tablet,1 Month,10.43
208,209,Premium,11,22-12-10,23-06-24,Spain,41,Male,Laptop,1 Month,20.32
209,210,Basic,14,22-11-22,23-06-26,Italy,49,Female,Laptop,1 Month,9.03
210,211,Premium,15,22-11-15,23-06-27,United States,40,Male,Tablet,1 Month,17.99
211,212,Basic,11,22-10-28,23-06-26,Canada,36,Male,Smart TV,1 Month,7.91
212,213,Standard,12,22-09-08,23-06-24,United Kingdom,49,Female,Smart TV,1 Month,13.2
213,214,Standard,13,22-06-30,23-06-28,Australia,43,Female,Laptop,1 Month,12.12
214,215,Basic,13,22-09-02,23-06-27,Germany,50,Female,Smartphone,1 Month,9.03
215,216,Premium,14,22-10-08,23-06-24,France,51,Female,Smart TV,1 Month,20.32
216,217,Basic,15,22-11-13,23-06-25,Brazil,44,Male,Smart TV,1 Month,4.61
217,218,Standard,12,22-11-15,23-06-28,Mexico,27,Male,Tablet,1 Month,10.43
218,219,Premium,12,22-11-16,23-06-25,Spain,46,Female,Smartphone,1 Month,20.32
219,220,Basic,12,22-11-26,23-06-27,Italy,29,Male,Tablet,1 Month,9.03
220,221,Basic,12,22-11-26,23-06-25,United States,47,Male,Smartphone,1 Month,8.99
221,222,Basic,10,22-12-12,23-06-26,Canada,48,Female,Smartphone,1 Month,7.91
222,223,Standard,12,23-01-08,23-06-25,United Kingdom,34,Female,Smartphone,1 Month,13.2
223,224,Premium,15,22-11-27,23-06-29,Australia,40,Female,Smartphone,1 Month,16.39
224,225,Basic,14,22-10-11,23-06-27,Germany,48,Female,Smartphone,1 Month,9.03
225,226,Basic,10,22-09-27,23-06-26,France,35,Male,Smartphone,1 Month,10.16
226,227,Premium,12,22-09-30,23-06-24,Brazil,51,Female,Smartphone,1 Month,9.96
227,228,Standard,10,22-11-04,23-06-27,Mexico,39,Male,Smart TV,1 Month,10.43
228,229,Standard,13,22-11-04,23-06-27,Spain,29,Male,Smartphone,1 Month,14.67
229,230,Basic,12,22-10-30,23-06-26,Italy,51,Male,Laptop,1 Month,9.03
230,231,Premium,11,22-10-29,23-06-24,United States,43,Male,Smartphone,1 Month,17.99
231,232,Standard,11,22-08-30,23-06-27,Canada,28,Male,Smartphone,1 Month,11.87
232,233,Basic,15,22-07-07,23-06-26,United Kingdom,50,Female,Smart TV,1 Month,7.91
233,234,Standard,14,22-05-26,23-06-27,Australia,44,Female,Laptop,1 Month,12.12
234,235,Premium,11,22-05-17,23-06-25,Germany,50,Male,Laptop,1 Month,20.32
235,236,Basic,11,22-05-08,23-06-26,France,39,Female,Smartphone,1 Month,10.16
236,237,Premium,13,22-07-07,23-06-25,Brazil,46,Female,Tablet,1 Month,9.96
237,238,Standard,15,22-07-17,23-06-28,Mexico,48,Male,Smartphone,1 Month,10.43
238,239,Basic,15,22-12-23,23-06-26,Spain,38,Male,Smart TV,1 Month,9.03
239,240,Standard,13,22-06-27,23-06-26,Italy,38,Male,Smartphone,1 Month,14.67
240,241,Premium,13,22-05-31,23-06-27,United States,47,Male,Laptop,1 Month,17.99
241,242,Basic,12,22-06-02,23-06-26,Canada,37,Male,Laptop,1 Month,7.91
242,243,Standard,11,22-05-25,23-06-27,United Kingdom,33,Male,Laptop,1 Month,13.2
243,244,Premium,15,22-04-26,23-06-26,Australia,28,Male,Smartphone,1 Month,16.39
244,245,Basic,13,22-04-20,23-06-26,Germany,47,Male,Smart TV,1 Month,9.03
245,246,Premium,11,22-05-03,23-06-25,France,38,Female,Smartphone,1 Month,20.32
246,247,Basic,12,22-07-07,23-06-27,Brazil,27,Male,Smart TV,1 Month,4.61
247,248,Standard,13,22-09-15,23-06-26,Mexico,34,Male,Smartphone,1 Month,10.43
248,249,Standard,14,22-09-16,23-06-27,Spain,42,Female,Smartphone,1 Month,14.67
249,250,Basic,14,22-08-09,23-06-26,Italy,28,Male,Laptop,1 Month,9.03
250,251,Premium,15,22-06-25,23-06-27,United States,30,Male,Laptop,1 Month,17.99
251,252,Basic,11,22-05-30,23-06-26,Canada,38,Female,Smartphone,1 Month,7.91
252,253,Standard,15,22-05-21,23-06-25,United Kingdom,45,Female,Tablet,1 Month,13.2
253,254,Premium,12,22-05-20,23-06-27,Australia,48,Female,Smart TV,1 Month,16.39
254,255,Basic,13,22-05-20,23-06-26,Germany,46,Female,Smart TV,1 Month,9.03
255,256,Premium,12,22-05-30,23-06-26,France,34,Male,Tablet,1 Month,20.32
256,257,Basic,13,22-06-17,23-06-25,Brazil,46,Male,Laptop,1 Month,4.61
257,258,Standard,11,22-07-16,23-06-28,Mexico,41,Female,Smartphone,1 Month,10.43
258,259,Standard,15,22-08-05,23-06-26,Spain,28,Male,Smartphone,1 Month,14.67
259,260,Basic,10,22-07-17,23-06-26,Italy,27,Female,Smartphone,1 Month,9.03
260,261,Premium,13,22-07-04,23-06-25,United States,27,Female,Smart TV,1 Month,17.99
261,262,Basic,12,22-07-13,23-06-26,Canada,28,Female,Tablet,1 Month,7.91
262,263,Standard,15,22-07-25,23-06-24,United Kingdom,46,Male,Smartphone,1 Month,13.2
263,264,Premium,10,22-08-09,23-06-27,Australia,51,Male,Smartphone,1 Month,16.39
264,265,Basic,11,22-08-05,23-06-25,Germany,32,Female,Smart TV,1 Month,9.03
265,266,Premium,10,22-08-17,23-06-26,France,44,Male,Tablet,1 Month,20.32
266,267,Basic,11,22-09-08,23-06-27,Brazil,44,Female,Laptop,1 Month,4.61
267,268,Standard,13,22-10-16,23-06-28,Mexico,34,Female,Smart TV,1 Month,10.43
268,269,Standard,13,22-10-15,23-06-25,Spain,29,Female,Laptop,1 Month,14.67
269,270,Basic,12,22-09-04,23-06-25,Italy,47,Male,Smart TV,1 Month,9.03
270,271,Premium,14,22-08-20,23-06-26,United States,41,Male,Laptop,1 Month,17.99
271,272,Basic,10,22-08-10,23-06-26,Canada,36,Female,Smartphone,1 Month,7.91
272,273,Standard,12,22-08-02,23-06-25,United Kingdom,28,Female,Laptop,1 Month,13.2
273,274,Premium,10,22-08-01,23-06-24,Australia,27,Female,Tablet,1 Month,16.39
274,275,Basic,15,22-08-06,23-06-25,Germany,34,Female,Laptop,1 Month,9.03
275,276,Premium,14,22-08-09,23-06-25,France,34,Female,Smart TV,1 Month,20.32
276,277,Basic,13,22-09-12,23-06-26,Brazil,37,Female,Tablet,1 Month,4.61
277,278,Standard,14,22-09-27,23-06-26,Mexico,34,Female,Laptop,1 Month,10.43
278,279,Standard,15,22-11-12,23-06-24,Spain,50,Female,Laptop,1 Month,14.67
279,280,Basic,12,22-11-13,23-06-27,Italy,34,Female,Laptop,1 Month,9.03
280,281,Premium,12,22-11-02,23-06-28,United States,33,Female,Smart TV,1 Month,17.99
281,282,Basic,11,22-10-30,23-06-25,Canada,33,Male,Smart TV,1 Month,7.91
282,283,Standard,15,22-06-30,23-06-26,United Kingdom,46,Male,Smartphone,1 Month,13.2
283,284,Premium,14,22-08-04,23-06-28,Australia,39,Female,Smartphone,1 Month,16.39
284,285,Basic,10,22-09-01,23-06-27,Germany,42,Female,Laptop,1 Month,9.03
285,286,Premium,14,22-10-14,23-06-27,France,50,Female,Laptop,1 Month,20.32
286,287,Basic,10,22-10-16,23-06-26,Brazil,43,Male,Smartphone,1 Month,4.61
287,288,Standard,14,22-10-20,23-06-28,Mexico,51,Male,Smart TV,1 Month,10.43
288,289,Standard,15,22-11-20,23-06-25,Spain,34,Female,Smart TV,1 Month,14.67
289,290,Basic,12,22-11-25,23-06-30,Italy,48,Male,Smartphone,1 Month,9.03
290,291,Premium,13,22-12-04,23-06-27,United States,29,Female,Tablet,1 Month,17.99
291,292,Basic,11,22-12-12,23-06-27,Canada,43,Female,Laptop,1 Month,7.91
292,293,Standard,14,22-12-09,23-06-25,United Kingdom,39,Female,Laptop,1 Month,13.2
293,294,Premium,10,22-10-15,23-06-29,Australia,50,Male,Laptop,1 Month,16.39
294,295,Basic,14,22-10-03,23-06-27,Germany,45,Male,Laptop,1 Month,9.03
295,296,Basic,12,22-10-01,23-06-27,France,48,Female,Tablet,1 Month,10.16
296,297,Basic,13,22-11-02,23-06-24,Brazil,40,Male,Smartphone,1 Month,4.61
297,298,Standard,14,22-11-03,23-06-27,Mexico,41,Male,Tablet,1 Month,10.43
298,299,Premium,10,22-10-30,23-06-27,Spain,27,Male,Smartphone,1 Month,20.32
299,300,Basic,11,22-10-30,23-06-28,Italy,36,Male,Laptop,1 Month,9.03
300,301,Basic,10,22-09-27,23-06-24,United States,36,Female,Laptop,1 Month,8.99
301,302,Premium,11,22-09-14,23-06-27,Canada,44,Male,Tablet,1 Month,15.03
302,303,Standard,12,22-06-11,23-06-26,United Kingdom,45,Male,Tablet,1 Month,13.2
